Date,Type,Block,Street,Story,Area,Model  ,LeaseBegin,LeaseRemaining(in months),ResalePrice
2022-11,5 ROOM,9,PUNGGOL FIELD,07 TO 09,110,Improved,2003,954,580000
2022-12,4 ROOM,9,PUNGGOL FIELD,13 TO 15,90,Model A,2003,951,482000
2022-01,5 ROOM,9,PUNGGOL FIELD,13 TO 15,110,Improved,2003,963,530000
2022-01,4 ROOM,9,PUNGGOL FIELD,10 TO 12,90,Model A,2003,962,470000
2022-04,5 ROOM,9,PUNGGOL FIELD,01 TO 03,110,Improved,2003,960,500000
2022-06,5 ROOM,9,PUNGGOL FIELD,10 TO 12,110,Improved,2003,958,540000
2022-05,5 ROOM,9,PUNGGOL FIELD,04 TO 06,110,Improved,2003,958,548000
2022-07,5 ROOM,9,PUNGGOL FIELD,13 TO 15,111,Improved,2003,955,580000
2022-08,5 ROOM,9,PUNGGOL FIELD,10 TO 12,110,Improved,2003,955,565000
2022-01,5 ROOM,18,EDGEFIELD PLAINS,13 TO 15,111,Improved,2003,962,546000
2022-04,5 ROOM,18,EDGEFIELD PLAINS,04 TO 06,110,Improved,2003,958,450002
2022-06,5 ROOM,18,EDGEFIELD PLAINS,01 TO 03,110,Improved,2003,957,505000
2022-06,5 ROOM,18,EDGEFIELD PLAINS,01 TO 03,110,Improved,2003,956,517000
2022-07,5 ROOM,18,EDGEFIELD PLAINS,13 TO 15,110,Improved,2003,956,588000
2022-07,5 ROOM,18,EDGEFIELD PLAINS,13 TO 15,110,Improved,2003,956,540000
2022-12,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,110,Improved,2003,951,565000
2022-03,4 ROOM,18,EDGEFIELD PLAINS,10 TO 12,90,Model A,2003,960,452000
2022-07,5 ROOM,18,EDGEFIELD PLAINS,04 TO 06,110,Improved,2003,957,560000
2022-11,5 ROOM,18,EDGEFIELD PLAINS,10 TO 12,110,Improved,2003,953,560000
2022-07,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,110,Improved,2003,958,530000
2022-01,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,110,Improved,2003,962,528000
2022-02,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,110,Improved,2003,961,523888
2022-11,5 ROOM,18,EDGEFIELD PLAINS,16 TO 18,110,Improved,2003,953,630000
2022-12,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,110,Improved,2003,953,575000
2022-05,5 ROOM,1,EDGEDALE PLAINS,10 TO 12,110,Improved,2003,961,525000
2022-05,5 ROOM,1,EDGEDALE PLAINS,10 TO 12,110,Improved,2003,960,550000
2022-06,4 ROOM,1,EDGEDALE PLAINS,16 TO 18,90,Model A,2003,960,470000
2022-02,5 ROOM,1,EDGEDALE PLAINS,16 TO 18,110,Improved,2003,963,518000
2022-05,5 ROOM,1,EDGEDALE PLAINS,04 TO 06,110,Improved,2003,961,477000
2022-07,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,110,Improved,2003,959,550000
2022-09,4 ROOM,1,EDGEDALE PLAINS,07 TO 09,90,Model A,2003,957,456000
2022-11,4 ROOM,1,EDGEDALE PLAINS,04 TO 06,90,Model A,2003,954,462000
2022-04,5 ROOM,1,EDGEDALE PLAINS,04 TO 06,110,Improved,2003,962,485000
2022-05,5 ROOM,1,EDGEDALE PLAINS,10 TO 12,110,Improved,2003,961,520000
2022-12,5 ROOM,9,PUNGGOL FIELD,01 TO 03,110,Improved,2003,956,550000
2022-07,4 ROOM,9,PUNGGOL FIELD,04 TO 06,90,Model A,2003,958,475000
2022-10,4 ROOM,9,PUNGGOL FIELD,10 TO 12,90,Model A,2003,955,485000
2022-06,5 ROOM,9,PUNGGOL FIELD,04 TO 06,110,Improved,2003,959,510000
2022-06,5 ROOM,9,PUNGGOL FIELD,04 TO 06,110,Improved,2003,959,505000
2022-07,5 ROOM,9,PUNGGOL FIELD,10 TO 12,110,Improved,2003,958,555000
2022-09,5 ROOM,9,PUNGGOL FIELD,16 TO 18,110,Improved,2003,956,585000
2022-12,5 ROOM,9,PUNGGOL FIELD,10 TO 12,110,Improved,2003,953,568888
2022-01,5 ROOM,1,EDGEDALE PLAINS,13 TO 15,113,Improved,2017,1132,655000
2022-01,3 ROOM,1,EDGEDALE PLAINS,01 TO 03,67,Model A,2017,1132,380000
2022-01,4 ROOM,1,EDGEDALE PLAINS,10 TO 12,93,Model A,2017,1133,455000
2022-01,4 ROOM,1,EDGEDALE PLAINS,04 TO 06,93,Model A,2017,1133,470000
2022-02,5 ROOM,1,EDGEDALE PLAINS,13 TO 15,113,Improved,2017,1131,625000
